#depth	age	sigma_age	air_age	sigma_air_age	accu	sigma_accu	thinning	sigma_thinning	LID	sigma_LID	Ddepth	sigma_Ddepth	accu_model	sigma_accu_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.500000000000000000e+01	nan	-5.500000000000000000e+01	nan	3.052352691777234298e-02	nan	1.001286330650394074e+00	nan	8.159545854721940827e+01	nan	0.000000000000000000e+00	nan	3.099000000000000019e-02	8.256508997727349253e-02	1.000000000000000000e+00	2.483971030102918864e-02	9.317385714290000465e+01	8.601621661418439035e-02	8.404775727927048246e-02	nan	inf	nan
5.500000000000000444e-01	-4.845610141419381023e+01	nan	-5.500000000000000000e+01	nan	3.052750803115764425e-02	nan	1.001222952149413148e+00	nan	8.159545854721940827e+01	nan	5.500000000000000444e-01	nan	3.099000000000000019e-02	8.256508997727349253e-02	1.000000000000000000e+00	2.483971030102918864e-02	9.317385714290000465e+01	8.601621661418439035e-02	8.405339876338034644e-02	nan	inf	nan
1.100000000000000089e+00	-4.191264204084578893e+01	nan	-5.500000000000000000e+01	nan	3.053148966379040652e-02	nan	1.001144560266441275e+00	nan	8.159545854721940827e+01	nan	1.100000000000000089e+00	nan	3.099000000000000365e-02	8.256508997727349253e-02	9.999850000000000128e-01	2.483971030102918864e-02	9.317385714290000465e+01	8.601621661418439035e-02	8.848166850598440658e-02	nan	inf	nan
1.650000000000000133e+00	-3.569666522568434175e+01	nan	-5.500000000000000000e+01	nan	3.053527276131739673e-02	nan	1.001011114004608960e+00	nan	8.159545854721940827e+01	nan	1.650000000000000133e+00	nan	3.098999999999999325e-02	8.256508997727349253e-02	9.999149999999999983e-01	2.483971030102918864e-02	9.317385714290000465e+01	8.601621661418439035e-02	9.339648367949975050e-02	nan	inf	nan
2.200000000000000178e+00	-2.980779255797893157e+01	nan	-5.500000000000000000e+01	nan	3.053885743006161391e-02	nan	1.000861664099736537e+00	nan	8.159545854721940827e+01	nan	2.200000000000000178e+00	nan	3.098999999999999325e-02	8.256508997727349253e-02	9.998289999999999678e-01	2.483971030102918864e-02	9.317385714290000465e+01	8.601621661418439035e-02	7.641292916789017842e-02	nan	inf	nan
2.750000000000000000e+00	-2.261005775067203416e+01	nan	-5.500000000000000000e+01	nan	3.054323963662591498e-02	nan	1.000716232981690768e+00	nan	8.159545854721940827e+01	nan	2.750000000000000000e+00	nan	3.098999999999999325e-02	8.256508997727349253e-02	9.997470000000000523e-01	2.483971030102918864e-02	9.317385714290000465e+01	8.601621661418439035e-02	8.005153165178528762e-02	nan	inf	nan
3.300000000000000266e+00	-1.573948340123378387e+01	nan	-5.500000000000000000e+01	nan	3.054742357975903655e-02	nan	1.000569815358283154e+00	nan	8.159545854721940827e+01	nan	3.300000000000000266e+00	nan	3.098999999999999325e-02	8.256508997727349253e-02	9.996639999999999970e-01	2.483971030102918864e-02	9.317385714290000465e+01	8.601621661418439035e-02	8.005078328122498810e-02	nan	inf	nan
3.850000000000000533e+00	-8.868844820874052459e+00	nan	-5.500000000000000000e+01	nan	3.067976943404827558e-02	nan	1.000412402990682237e+00	nan	8.159545854721940827e+01	nan	3.850000000000000533e+00	nan	3.111999999999997060e-02	8.256508997727349253e-02	9.995699999999999585e-01	2.483971030102918864e-02	9.317385714290000465e+01	8.601621661418439035e-02	7.033674148810699356e-02	nan	inf	nan
4.400000000000000355e+00	-1.049318519772974412e+00	nan	-5.500000000000000000e+01	nan	3.075357381678658908e-02	nan	1.000247000306444756e+00	nan	8.159545854721940827e+01	nan	4.400000000000000355e+00	nan	3.118999999999999204e-02	8.256508997727349253e-02	9.994680000000000231e-01	2.483971030102918864e-02	9.317385714290000465e+01	8.601621661418439035e-02	6.266165411296921450e-02	nan	inf	nan
4.950000000000000178e+00	7.727979299535071789e+00	nan	-5.500000000000000000e+01	nan	3.075895709148964222e-02	nan	1.000083615985185803e+00	nan	8.159545854721940827e+01	nan	4.950000000000000178e+00	nan	3.118999999999999204e-02	8.256508997727349253e-02	9.993680000000000341e-01	2.483971030102918864e-02	9.317385714290000465e+01	8.601621661418439035e-02	6.767543154580984988e-02	nan	inf	nan
