#depth	age	sigma_age	air_age	sigma_air_age	accu	sigma_accu	thinning	sigma_thinning	LID	sigma_LID	Ddepth	sigma_Ddepth	accu_model	sigma_accu_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.400000000000000000e+01	nan	-5.400000000000000000e+01	nan	8.815709116139533452e-02	nan	1.002549152194237791e+00	nan	7.589496205421242792e+01	nan	0.000000000000000000e+00	nan	8.742999999999999383e-02	5.976956436294552505e-02	9.997000000000000330e-01	5.202382972419355295e-02	7.192771428570000580e+01	7.065697542753038296e-02	2.264052488761099102e-01	nan	inf	nan
1.000000000000000000e+00	-4.958314127007185590e+01	nan	-5.400000000000000000e+01	nan	8.815660129256619459e-02	nan	1.002423368255513925e+00	nan	7.589496205421242792e+01	nan	1.000000000000000000e+00	nan	8.742999999999999383e-02	5.976956436294552505e-02	9.993999999999999551e-01	5.202382972419355295e-02	7.192771428570000580e+01	7.065697542753038296e-02	2.202593085956297270e-01	nan	inf	nan
2.000000000000000000e+00	-4.504303803277402807e+01	nan	-5.400000000000000000e+01	nan	8.815609767250669193e-02	nan	1.002287477779129521e+00	nan	7.589496205421242792e+01	nan	2.000000000000000000e+00	nan	8.742999999999997995e-02	5.976956436294552505e-02	9.990900000000000336e-01	5.202382972419355295e-02	7.192771428570000580e+01	7.065697542753038296e-02	2.396597395764004379e-01	nan	inf	nan
3.000000000000000000e+00	-4.087045568011227203e+01	nan	-5.400000000000000000e+01	nan	8.815563474477083883e-02	nan	1.002131441729487094e+00	nan	7.589496205421242792e+01	nan	3.000000000000000000e+00	nan	8.743000000000000771e-02	5.976956436294552505e-02	9.987599999999999811e-01	5.202382972419355295e-02	7.192771428570000580e+01	7.065697542753038296e-02	2.263071786852351996e-01	nan	inf	nan
4.000000000000000000e+00	-3.645168290494161312e+01	nan	-5.400000000000000000e+01	nan	8.815514442299518527e-02	nan	1.001955249567382689e+00	nan	7.589496205421242792e+01	nan	4.000000000000000000e+00	nan	8.743000000000000771e-02	5.976956436294552505e-02	9.984100000000000197e-01	5.202382972419355295e-02	7.192771428570000580e+01	7.065697542753038296e-02	2.036369100426300982e-01	nan	inf	nan
5.000000000000000000e+00	-3.154098179584181239e+01	nan	-5.400000000000000000e+01	nan	8.815459942625766820e-02	nan	1.001768928011874449e+00	nan	7.589496205421242792e+01	nan	5.000000000000000000e+00	nan	8.742999999999995220e-02	5.976956436294552505e-02	9.980499999999999927e-01	5.202382972419355295e-02	7.192771428570000580e+01	7.065697542753038296e-02	1.893937946439014086e-01	nan	inf	nan
6.000000000000000000e+00	-2.626097776043926757e+01	nan	-5.400000000000000000e+01	nan	8.815401334877014106e-02	nan	1.001562432761041732e+00	nan	7.589496205421242792e+01	nan	6.000000000000000000e+00	nan	8.743000000000000771e-02	5.976956436294552505e-02	9.976699999999999458e-01	5.202382972419355295e-02	7.192771428570000580e+01	7.065697542753038296e-02	1.770047674810921456e-01	nan	inf	nan
7.000000000000000000e+00	-2.061141241691358772e+01	nan	-5.400000000000000000e+01	nan	8.815338614913004189e-02	nan	1.001335753265557793e+00	nan	7.589496205421242792e+01	nan	7.000000000000000000e+00	nan	8.743000000000000771e-02	5.976956436294552505e-02	9.972699999999999898e-01	5.202382972419355295e-02	7.192771428570000580e+01	7.065697542753038296e-02	1.731995238350803878e-01	nan	inf	nan
8.000000000000000000e+00	-1.483772448834749014e+01	nan	-5.400000000000000000e+01	nan	8.815274506694012469e-02	nan	1.001088878972413276e+00	nan	7.589496205421242792e+01	nan	8.000000000000000000e+00	nan	8.743000000000000771e-02	5.976956436294552505e-02	9.968500000000000139e-01	5.202382972419355295e-02	7.192771428570000580e+01	7.065697542753038296e-02	1.627664848157512612e-01	nan	inf	nan
9.000000000000000000e+00	-8.693953544765449237e+00	nan	-5.400000000000000000e+01	nan	8.815206278345662227e-02	nan	1.000821799324915329e+00	nan	7.589496205421242792e+01	nan	9.000000000000000000e+00	nan	8.743000000000000771e-02	5.976956436294552505e-02	9.964100000000000179e-01	5.202382972419355295e-02	7.192771428570000580e+01	7.065697542753038296e-02	1.564624932859381978e-01	nan	inf	nan
