#Depth	CH4 mean	 1s    L
#		
104.69	696	10
104.78	683	10
106.61	679	10
107.69	676	10
108.79	651	10
109.83	684	10
110.46	681	10
112.14	670	10
113.03	644	10
114.67	670	10
114.78	668	10
115.22	680	10
118.48	667	10
118.74	669	10
120.85	680	10
121.15	643	10
124.34	664	10
124.58	647	10
125.29	648	10
126.33	640	10
126.75	636	10
129.18	635	10
130.79	633	10
131.83	644	10
134.25	643	10
134.48	629	10
135.19	635	10
137.75	635	10
137.98	650	10
140.73	631	10
141.07	638	10
143.38	632	10
144.04	630	10
145.8	610	10
146.03	623	10
147.29	623	10
148.33	615	10
148.75	623	10
150.09	618	10
150.63	613	10
153.83	613	10
155.04	605	10
156.15	599	10
157.58	604	10
159.33	591	10
159.67	594	10
159.78	609	10
162.05	602	10
163.82	597	10
164.83	595	10
165.18	594	10
165.28	597	10
167.09	593	10
167.8	604	10
168.09	592	10
169.41	579	10
170.33	603	10
170.47	590	10
173.05	592	10
173.69	586	10
176.21	590	10
176.28	580	10
176.38	588	10
176.69	583	10
178.26	580	10
178.48	578	10
180.29	577	10
180.78	577	10
183.97	581	10
185.28	573	10
187.28	576	10
188.04	589	10
189.48	568	10
192.33	581	10
193.55	589	10
195.73	573	10
197.83	570	10
198.2	560	10
200.13	575	10
200.8	596	10
201.03	578	10
203.33	578	10
203.47	581	10
205.63	576	10
208.83	574	10
209.25	578	10
211.14	575	10
211.81	549	10
212.03	568	10
214.33	576	10
214.47	563	10
215.98	570	10
217.09	582	10
220.38	577	10
220.52	568	10
221.11	579	10
222.25	584	10
222.48	570	10
224.23	570	10
224.78	568	10
225.12	582	10
225.23	562	10
225.94	580	10
227.6	560	10
228.74	580	10
229.76	560	10
231.4	563	10
231.99	560	10
233.09	570	10
233.48	563	10
235.23	579	10
235.78	570	10
236.13	573	10
236.23	568	10
240.15	561	10
241.85	563	10
242.88	551	10
244.09	553	10
244.48	558	10
246.29	574	10
247.76	561	10
247.86	564	10
249.53	577	10
250.6	565	10
251.73	570	10
252.85	566	10
253.44	580	10
255.06	581	10
255.82	563	10
256.03	568	10
257.29	591	10
258.33	571	10
258.65	578	10
258.78	570	10
258.92	581	10
259.98	584	10
260.53	586	10
263.83	575	10
264.99	570	10
266.09	584	10
268.13	564	10
268.23	602	10
268.92	592	10
269.12	597	10
269.23	581	10
269.94	597	10
271.63	590	10
275.71	590	10
275.83	577	10
276.09	583	10
277.03	592	10
277.82	577	10
278.03	580	10
278.13	581	10
279.23	587	10
279.78	588	10
280.94	617	10
282.53	602	10
283.61	602	10
285.28	599	10
285.61	601	10
285.73	595	10
286.44	607	10
287.59	604	10
287.89	636	10
288	603	10
289.19	608	10
291.33	605	10
293.59	633	10
294.18	607	10
295.73	614	10
297.2	631	10
297.28	610	10
299.41	612	10
299.48	607	10
300.19	623	10
302.33	618	10
303.5	618	10
305.08	602	10
305.64	623	10
308.28	612	10
308.36	602	10
308.99	617	10
310.96	625	10
311.03	610	10
311.68	617	10
312.2	617	10
313.33	623	10
314.48	620	10
315.62	619	10
316.08	623	10
316.69	620	10
317.15	623	10
317.73	618	10
319.13	620	10
319.28	611	10
319.46	612	10
320.53	614	10
321.03	620	10
321.62	598	10
322.11	600	10
322.22	612	10
322.75	589	10
323.3	613	10
324.35	624	10
324.95	660	10
325.43	632	10
325.98	606	10
326.6	626	10
327.08	633	10
327.14	624	10
327.63	651	10
328.18	640	10
329.85	642	10
330.24	641	10
330.99	660	10
332.89	647	10
333.03	649	10
334.73	665	10
335.64	648	10
335.78	660	10
337.53	654	10
338.08	654	10
340.13	662	10
340.83	657	10
343.31	671	10
343.48	659	10
345.23	675	10
346.64	676	10
346.78	658	10
348.61	674	10
349.08	657	10
350.76	648	10
351.85	671	10
354.12	664	10
355.51	671	10
355.58	665	10
357.1	664	10
357.23	665	10
357.94	666	10
359.53	663	10
361.73	675	10
362.51	671	10
362.73	674	10
365.09	676	10
367.3	675	10
368.88	682	10
369.49	685	10
370.84	689	10
370.98	683	10
372.74	693	10
374.38	676	10
374.99	674	10
376.76	670	10
377.03	682	10
378.24	675	10
379.33	685	10
381.53	678	10
383.85	717	10
385.34	698	10
387.83	694	10
388.09	678	10
389.26	682	10
389.78	688	10
392.98	672	10
393.53	661	10
395.23	669	10
396.24	652	10
398.79	671	10
399.03	666	10
400.26	685	10
401.33	681	10
404.36	694	10
404.53	673	10
405.81	679	10
407.24	703	10
410.87	650	10
411.13	633	10
412.51	653	10
412.78	654	10
415.08	665	10
418.02	643	10
418.28	559	10
421.13	469	10
426.8	488	10
427.08	468	10
429.24	477	10
431.26	462	10
431.48	483	10
434.33	462	10
436.81	480	10
436.98	467	10
438.28	479	10
443.13	542	10
445.64	651	10
445.78	627	10
448.08	643	10
450.47	610	10
450.73	646	10
453.11	661	10
453.58	662	10
456.61	670	10
456.78	653	10
460.14	646	10
461.92	628	10
463.16	625	10
463.38	619	10
464.58	613	10
466.84	619	10
467.11	623	10
467.31	630	10
469.53	612	10
472.94	578	10
473.1	597	10
474.04	569	10
479.43	465	10
479.87	476	10
483.83	461	10
484.05	470	10
484.18	469	10
486.99	459	10
489.77	470	10
491.53	476	10
495.61	463	10
495.83	451	10
498.68	452	10
501.14	441	10
501.33	456	10
505.9	441	10
506.2	438	10
506.28	473	10
508.99	419	10
511.38	424	10
511.77	427	10
514.48	405	10
516.87	409	10
517.08	404	10
519.56	408	10
519.7	381	10
522.4	395	10
522.69	389	10
525.6	371	10
527.85	375	10
528.11	366	10
528.24	384	10
530.95	366	10
532.42	377	10
532.63	371	10
536.44	375	10
538.82	371	10
539.07	378	10
539.22	371	10
543.41	373	10
543.59	379	10
548.51	366	10
549.95	358	10
550.2	377	10
552.5	356	10
552.66	351	10
555.71	374	10
557.44	375	10
561.16	384	10
561.19	367	10
563.88	378	10
566.42	365	10
569.37	354	10
572.16	357	10
575.55	357	10
577.85	355	10
585.43	407	10
587.65	385	10
590.31	390	10
592.04	390	10
594.22	390	10
596.9	386	10
598.61	398	10
600.82	375	10
603	360	10
605.19	373	10
607.39	389	10
609.61	372	10
613.98	370	10
616.68	365	10
618.86	355	10
620.58	364	10
627.17	396	10
629.87	387	10
631.56	386	10
634.23	396	10
635.95	406	10
638.13	426	10
640.34	382	10
643.04	399	10
644.74	402	10
646.91	414	10
649.6	444	10
653.5	388	10
656.18	368	10
660.11	391	10
662.79	399	10
664.5	392	10
669.39	410	10
671.08	408	10
673.26	392	10
675.48	404	10
677.66	412	10
681.56	427	10
682.05	422	10
683.1	441	10
684.87	457	10
685.97	471	10
686.88	431	10
688.15	452	10
688.65	409	10
690.37	410	10
690.85	405	10
691.88	404	10
692.53	415	10
693.54	432	10
694.79	424	10
695.24	428	10
696.28	440	10
696.94	443	10
697.41	444	10
699.63	461	10
701.8	479	10
702.41	426	10
703.51	415	10
704	419	10
705.75	420	10
706.22	430	10
707.25	430	10
708.91	428	10
711.08	447	10
711.64	457	10
712.81	489	10
715.43	519	10
715.49	520	10
716.04	513	10
717.17	514	10
718.87	498	10
719.41	492	10
720.37	427	10
722.17	421	10
723.79	444	10
724.76	426	10
725.49	425	10
725.98	441	10
727.01	440	10
728.18	441	10
730.31	471	10
730.86	469	10
732.52	494	10
733.6	524	10
736.89	534	10
737.41	534	10
739.03	587	10
739.62	536	10
739.74	548	10
740.88	572	10
741.82	563	10
742.26	580	10
743.48	560	10
743.63	557	10
744.19	544	10
745.74	547	10
746.71	539	10
747.87	540	10
748.41	481	10
750.13	526	10
752.34	443	10
754.52	440	10
758.89	455	10
761.61	441	10
763.28	450	10
765.48	444	10
767.68	427	10
769.52	419	10
769.87	419	10
770.02	411	10
772.18	424	10
772.55	422	10
772.77	414	10
773.78	442	10
774.26	448	10
774.34	440	10
775.19	450	10
776.04	429	10
776.58	420	10
778.65	413	10
778.78	419	10
780.38	426	10
780.85	447	10
781	422	10
781.9	433	10
783.05	420	10
783.18	434	10
783.65	433	10
784.28	442	10
784.88	457	10
785.24	465	10
785.33	462	10
786.3	465	10
786.52	465	10
787.51	467	10
789.78	458	10
792	414	10
793.72	429	10
794.83	416	10
796.38	415	10
798.51	456	10
800.78	446	10
