#depth	age	sigma_age	air_age	sigma_air_age	accu	sigma_accu	thinning	sigma_thinning	LID	sigma_LID	Ddepth	sigma_Ddepth	accu_model	sigma_accu_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.500000000000000000e+01	nan	-5.500000000000000000e+01	nan	3.066277517961515237e-02	nan	1.003033730824930636e+00	nan	8.113192477279589809e+01	nan	0.000000000000000000e+00	nan	3.099000000000000019e-02	8.256508997727349253e-02	1.000000000000000000e+00	2.483971030102918864e-02	9.317385714290000465e+01	8.601621661418439035e-02	8.457852848963103021e-02	nan	inf	nan
5.500000000000000444e-01	-4.849716754569183763e+01	nan	-5.500000000000000000e+01	nan	3.066435841022121384e-02	nan	1.002994464239379546e+00	nan	8.113192477279589809e+01	nan	5.500000000000000444e-01	nan	3.099000000000000019e-02	8.256508997727349253e-02	1.000000000000000000e+00	2.483971030102918864e-02	9.317385714290000465e+01	8.601621661418439035e-02	8.457958435057072455e-02	nan	inf	nan
1.100000000000000089e+00	-4.199441627039205116e+01	nan	-5.500000000000000000e+01	nan	3.066594172257523093e-02	nan	1.002940154863041888e+00	nan	8.113192477279589809e+01	nan	1.100000000000000089e+00	nan	3.099000000000000365e-02	8.256508997727349253e-02	9.999850000000000128e-01	2.483971030102918864e-02	9.317385714290000465e+01	8.601621661418439035e-02	8.903071120771335889e-02	nan	inf	nan
1.650000000000000133e+00	-3.581677270741049313e+01	nan	-5.500000000000000000e+01	nan	3.066744597108225778e-02	nan	1.002830687825288392e+00	nan	8.113192477279589809e+01	nan	1.650000000000000133e+00	nan	3.098999999999999325e-02	8.256508997727349253e-02	9.999149999999999983e-01	2.483971030102918864e-02	9.317385714290000465e+01	8.601621661418439035e-02	9.397125927597232975e-02	nan	inf	nan
2.200000000000000178e+00	-2.996391935376143323e+01	nan	-5.500000000000000000e+01	nan	3.066887121576292174e-02	nan	1.002705181794489642e+00	nan	8.113192477279589809e+01	nan	2.200000000000000178e+00	nan	3.098999999999999325e-02	8.256508997727349253e-02	9.998289999999999678e-01	2.483971030102918864e-02	9.317385714290000465e+01	8.601621661418439035e-02	7.687959021958336303e-02	nan	inf	nan
2.750000000000000000e+00	-2.280987497827646138e+01	nan	-5.500000000000000000e+01	nan	3.067061341983043019e-02	nan	1.002583695403029607e+00	nan	8.113192477279589809e+01	nan	2.750000000000000000e+00	nan	3.098999999999999325e-02	8.256508997727349253e-02	9.997470000000000523e-01	2.483971030102918864e-02	9.317385714290000465e+01	8.601621661418439035e-02	8.053537796209540855e-02	nan	inf	nan
3.300000000000000266e+00	-1.598057816590088720e+01	nan	-5.500000000000000000e+01	nan	3.067227666074827039e-02	nan	1.002461214188572036e+00	nan	8.113192477279589809e+01	nan	3.300000000000000266e+00	nan	3.098999999999999325e-02	8.256508997727349253e-02	9.996639999999999970e-01	2.483971030102918864e-02	9.317385714290000465e+01	8.601621661418439035e-02	8.052990614183069829e-02	nan	inf	nan
3.850000000000000533e+00	-9.150817318653274413e+00	nan	-5.500000000000000000e+01	nan	3.080261428992030551e-02	nan	1.002327710679481676e+00	nan	8.113192477279589809e+01	nan	3.850000000000000533e+00	nan	3.111999999999997060e-02	8.256508997727349253e-02	9.995699999999999585e-01	2.483971030102918864e-02	9.317385714290000465e+01	8.601621661418439035e-02	7.075357697738335339e-02	nan	inf	nan
4.400000000000000355e+00	-1.377358738943456729e+00	nan	-5.500000000000000000e+01	nan	3.087380605216451246e-02	nan	1.002186194329681035e+00	nan	8.113192477279589809e+01	nan	4.400000000000000355e+00	nan	3.118999999999999204e-02	8.256508997727349253e-02	9.994680000000000231e-01	2.483971030102918864e-02	9.317385714290000465e+01	8.601621661418439035e-02	6.302859021099924131e-02	nan	inf	nan
4.950000000000000178e+00	7.348839929926946013e+00	nan	-5.500000000000000000e+01	nan	3.087594548252611815e-02	nan	1.002046692884648538e+00	nan	8.113192477279589809e+01	nan	4.950000000000000178e+00	nan	3.118999999999999204e-02	8.256508997727349253e-02	9.993680000000000341e-01	2.483971030102918864e-02	9.317385714290000465e+01	8.601621661418439035e-02	6.806617399916840838e-02	nan	inf	nan
5.500000000000000000e+00	1.542921183399076313e+01	nan	-5.500000000000000000e+01	nan	3.087792676537823300e-02	nan	1.001900182338130163e+00	nan	8.113192477279589809e+01	nan	5.500000000000000000e+00	nan	3.118999999999999204e-02	8.256508997727349253e-02	9.992609999999999548e-01	2.483971030102918864e-02	9.317385714290000465e+01	8.601621661418439035e-02	6.301901260000505878e-02	nan	inf	nan
