#depth	age	sigma_age	air_age	sigma_air_age	accu	sigma_accu	thinning	sigma_thinning	LID	sigma_LID	Ddepth	sigma_Ddepth	accu_model	sigma_accu_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.400000000000000000e+01	nan	-5.400000000000000000e+01	nan	8.880032436658344408e-02	nan	1.006194873162504555e+00	nan	7.536260843129559817e+01	nan	0.000000000000000000e+00	nan	8.742999999999999383e-02	5.976956436294552505e-02	9.997000000000000330e-01	5.202382972419355295e-02	7.192771428570000580e+01	7.065697542753038296e-02	2.288865207695870430e-01	nan	inf	nan
1.000000000000000000e+00	-4.963102275906116745e+01	nan	-5.400000000000000000e+01	nan	8.879768424543137140e-02	nan	1.006075291860876852e+00	nan	7.536260843129559817e+01	nan	1.000000000000000000e+00	nan	8.742999999999999383e-02	5.976956436294552505e-02	9.993999999999999551e-01	5.202382972419355295e-02	7.192771428570000580e+01	7.065697542753038296e-02	2.226693155549272218e-01	nan	inf	nan
2.000000000000000000e+00	-4.514005822042304317e+01	nan	-5.400000000000000000e+01	nan	8.879497007931436148e-02	nan	1.005945565508044037e+00	nan	7.536260843129559817e+01	nan	2.000000000000000000e+00	nan	8.742999999999997995e-02	5.976956436294552505e-02	9.990900000000000336e-01	5.202382972419355295e-02	7.192771428570000580e+01	7.065697542753038296e-02	2.422776022314900024e-01	nan	inf	nan
3.000000000000000000e+00	-4.101256153567161533e+01	nan	-5.400000000000000000e+01	nan	8.879247527636491277e-02	nan	1.005795618160387761e+00	nan	7.536260843129559817e+01	nan	3.000000000000000000e+00	nan	8.743000000000000771e-02	5.976956436294552505e-02	9.987599999999999811e-01	5.202382972419355295e-02	7.192771428570000580e+01	7.065697542753038296e-02	2.287754759806911453e-01	nan	inf	nan
4.000000000000000000e+00	-3.664146364717066007e+01	nan	-5.400000000000000000e+01	nan	8.878983290403559547e-02	nan	1.005625438838535501e+00	nan	7.536260843129559817e+01	nan	4.000000000000000000e+00	nan	8.743000000000000771e-02	5.976956436294552505e-02	9.984100000000000197e-01	5.202382972419355295e-02	7.192771428570000580e+01	7.065697542753038296e-02	2.058543277890974854e-01	nan	inf	nan
5.000000000000000000e+00	-3.178365953520405185e+01	nan	-5.400000000000000000e+01	nan	8.878689596021331620e-02	nan	1.005445090654528473e+00	nan	7.536260843129559817e+01	nan	5.000000000000000000e+00	nan	8.742999999999995220e-02	5.976956436294552505e-02	9.980499999999999927e-01	5.202382972419355295e-02	7.192771428570000580e+01	7.065697542753038296e-02	1.914522361191791922e-01	nan	inf	nan
6.000000000000000000e+00	-2.656042464241596690e+01	nan	-5.400000000000000000e+01	nan	8.878373772366113248e-02	nan	1.005244492178497095e+00	nan	7.536260843129559817e+01	nan	6.000000000000000000e+00	nan	8.743000000000000771e-02	5.976956436294552505e-02	9.976699999999999458e-01	5.202382972419355295e-02	7.192771428570000580e+01	7.065697542753038296e-02	1.789245671532860571e-01	nan	inf	nan
7.000000000000000000e+00	-2.097147721104790463e+01	nan	-5.400000000000000000e+01	nan	8.878035799048743237e-02	nan	1.005023632420123381e+00	nan	7.536260843129559817e+01	nan	7.000000000000000000e+00	nan	8.743000000000000771e-02	5.976956436294552505e-02	9.972699999999999898e-01	5.202382972419355295e-02	7.192771428570000580e+01	7.065697542753038296e-02	1.750737915729590755e-01	nan	inf	nan
8.000000000000000000e+00	-1.525960000192682031e+01	nan	-5.400000000000000000e+01	nan	8.877690355780111509e-02	nan	1.004782500385106747e+00	nan	7.536260843129559817e+01	nan	8.000000000000000000e+00	nan	8.743000000000000771e-02	5.976956436294552505e-02	9.968500000000000139e-01	5.202382972419355295e-02	7.192771428570000580e+01	7.065697542753038296e-02	1.645237359055200799e-01	nan	inf	nan
9.000000000000000000e+00	-9.181449670024178999e+00	nan	-5.400000000000000000e+01	nan	8.877322723448348440e-02	nan	1.004521085075163356e+00	nan	7.536260843129559817e+01	nan	9.000000000000000000e+00	nan	8.743000000000000771e-02	5.976956436294552505e-02	9.964100000000000179e-01	5.202382972419355295e-02	7.192771428570000580e+01	7.065697542753038296e-02	1.581474072875084513e-01	nan	inf	nan
