# #Depth CH4
216.803100 609.481300
216.803600 610.595600
216.894200 615.722800
216.898900 615.520500
216.899400 616.062600
216.900900 614.760100
216.903800 616.442100
216.904400 616.733700
216.906900 615.170800
216.908000 616.691800
216.908500 616.591300
216.909100 617.048700
216.910300 615.476300
216.910900 617.190900
216.911400 616.181300
216.911900 615.515400
216.912600 616.024700
216.913200 616.574700
216.913700 614.756100
216.914300 616.865700
216.914800 615.197900
216.915400 614.702300
216.915900 613.951600
216.916600 614.090100
216.917200 614.396800
216.917800 614.177300
216.918300 612.660200
216.918900 615.214300
216.919400 616.277200
216.920000 614.680100
216.920500 615.461000
216.921200 614.833300
216.921800 614.955100
216.922300 614.069000
216.922900 615.555700
216.923400 614.918400
216.924000 615.893200
216.924700 616.856500
216.925300 615.047400
216.925800 614.590500
216.926300 615.706200
216.927100 613.649400
216.927600 614.049600
216.928100 612.750200
216.928700 613.626100
216.929300 612.124900
216.929800 612.789500
216.930600 612.014100
216.931100 611.310200
216.931600 611.383900
216.932200 613.213200
216.932900 612.214200
216.933400 612.378100
216.934000 613.609900
216.934600 613.002600
216.935100 615.209000
216.935800 613.863700
216.936400 614.851500
216.936900 615.121200
216.937500 614.593400
216.938200 615.126000
216.938700 616.154200
216.939300 615.436000
216.939800 615.541900
216.940400 614.391900
216.941000 614.878700
216.941700 613.293900
216.942200 612.836200
216.942800 612.490200
216.943300 611.239200
216.944000 614.572200
216.944600 613.367000
216.945100 612.028400
216.945700 614.247200
216.946400 613.981200
216.947000 612.345400
216.947500 611.756500
216.948100 612.136600
216.948600 610.559700
216.949200 611.774500
216.949900 611.761300
216.950400 611.806000
216.951000 612.955900
216.951500 612.655700
216.952300 613.131300
216.952900 613.149500
216.953400 611.784900
216.954000 614.539100
216.954500 613.230500
216.955000 614.741700
216.955800 612.775000
216.956300 611.831000
216.958700 610.772100
216.959300 611.941100
216.959800 610.737100
216.960300 610.477700
216.960900 612.756000
216.961400 610.996100
216.962200 611.755600
216.962700 611.653300
216.963300 611.220900
216.963800 613.203000
216.964400 611.857300
216.964900 611.224600
216.965500 611.763900
216.966200 609.875900
216.966700 611.858900
216.967300 611.300900
216.967800 612.458400
216.968900 613.463700
216.970200 612.297200
216.970800 612.566100
216.971300 613.744000
216.971900 613.048200
216.972400 613.590700
216.973100 611.906100
216.973700 615.202800
216.974200 612.311400
216.974800 611.446200
216.975300 611.161700
216.975900 611.346400
216.976400 610.402200
216.977200 613.345400
216.977700 612.788000
216.978200 614.858600
216.978800 614.639000
216.979300 616.172000
216.979900 613.921400
216.980600 615.692500
216.981100 614.714300
216.981700 614.341300
216.982300 614.041600
216.982800 614.282400
216.983300 615.167200
216.984100 613.910600
216.984600 613.413900
216.985200 612.312100
216.985700 613.494300
216.986300 611.182200
216.986800 611.894000
216.987400 612.278800
216.988100 613.240000
216.988600 612.407500
216.989200 613.473600
216.989700 611.551500
216.990300 611.043300
216.990800 614.202200
216.991500 613.073600
216.992100 613.678200
