#depth	age	sigma_age	air_age	sigma_air_age	accu	sigma_accu	thinning	sigma_thinning	LID	sigma_LID	Ddepth	sigma_Ddepth	accu_model	sigma_accu_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-6.277000000000000313e+01	nan	-6.277000000000000313e+01	nan	6.440864199136103752e-01	nan	9.988469065124461199e-01	nan	0.000000000000000000e+00	nan	0.000000000000000000e+00	nan	5.000000000000000000e-01	2.000000000000000111e-01	9.988297535255994397e-01	7.649489322222979945e-05	0.000000000000000000e+00	2.000000000000000111e-01	1.413942259466782536e+00	nan	inf	nan
1.000000000000000000e+00	-6.206275754133191214e+01	nan	-6.277000000000000313e+01	nan	6.441336144791662832e-01	nan	9.965753029535588947e-01	nan	1.091201491047657735e+00	nan	1.000000000000000000e+00	nan	5.000000000000000000e-01	2.000000000000000111e-01	9.965239619040012764e-01	2.294846796666893984e-04	1.000000000000000000e+00	2.000000000000000111e-01	1.410830004378343050e+00	nan	inf	nan
2.000000000000000000e+00	-6.135395492379711868e+01	nan	-6.277000000000000313e+01	nan	3.743044939026436979e-01	nan	9.943317972780962855e-01	nan	2.182402982095315469e+00	nan	2.000000000000000000e+00	nan	2.905274599765987897e-01	2.000000000000000111e-01	9.942464229612267834e-01	3.824744661111489702e-04	2.000000000000000000e+00	2.000000000000000111e-01	8.179843080252393595e-01	nan	inf	nan
3.000000000000000000e+00	-6.013143758429682606e+01	nan	-6.277000000000000313e+01	nan	2.376255943930400127e-01	nan	9.920549355667912517e-01	nan	3.273604473142973426e+00	nan	3.000000000000000000e+00	nan	1.844167419380310369e-01	2.000000000000000111e-01	9.919356872620548327e-01	5.354642525556086233e-04	3.000000000000000000e+00	2.000000000000000111e-01	4.940794209790050351e-01	nan	inf	nan
4.000000000000000000e+00	-5.810747148180559662e+01	nan	-6.277000000000000313e+01	nan	4.690484490054142586e-01	nan	9.896445868068090013e-01	nan	4.364805964190630938e+00	nan	4.000000000000000000e+00	nan	3.639433044217317281e-01	2.000000000000000111e-01	9.894916426968214385e-01	6.884540390000681680e-04	4.000000000000000000e+00	2.000000000000000111e-01	8.976384017565148810e-01	nan	inf	nan
5.000000000000000000e+00	-5.699343714677360850e+01	nan	-6.277000000000000313e+01	nan	3.279763665276177464e-01	nan	9.871148235260384096e-01	nan	5.456007455238288451e+00	nan	5.000000000000000000e+00	nan	2.544534975378501263e-01	2.000000000000000111e-01	9.869283728790625432e-01	8.414438254445278211e-04	5.000000000000000000e+00	2.000000000000000111e-01	6.064159834523450421e-01	nan	inf	nan
6.000000000000000000e+00	-5.534440409473073430e+01	nan	-6.277000000000000313e+01	nan	2.425632559214668527e-01	nan	9.845326838942917158e-01	nan	6.547208946285946851e+00	nan	6.000000000000000000e+00	nan	1.881553776640123299e-01	2.000000000000000111e-01	9.843129133071959469e-01	9.944336118889874742e-04	6.000000000000000000e+00	2.000000000000000111e-01	4.369908960846330959e-01	nan	inf	nan
7.000000000000000000e+00	-5.305602690207103223e+01	nan	-6.277000000000000313e+01	nan	2.066672134171579078e-01	nan	9.819013227943815814e-01	nan	7.638410437333604364e+00	nan	7.000000000000000000e+00	nan	1.602729178086960971e-01	2.000000000000000111e-01	9.816484234379061480e-01	1.147423398333447019e-03	7.000000000000000000e+00	2.000000000000000111e-01	3.611929119777593233e-01	nan	inf	nan
8.000000000000000000e+00	-5.028742329209328688e+01	nan	-6.277000000000000313e+01	nan	4.363335713857872666e-01	nan	9.792341872574663597e-01	nan	8.729611928381261876e+00	nan	8.000000000000000000e+00	nan	3.382847844997777242e-01	2.000000000000000111e-01	9.789483514382936180e-01	1.300413184777906564e-03	8.000000000000000000e+00	2.000000000000000111e-01	7.512487914709610193e-01	nan	inf	nan
9.000000000000000000e+00	-4.895630634208531262e+01	nan	-6.277000000000000313e+01	nan	4.601132451456837469e-01	nan	9.765339251456022218e-01	nan	9.820813419428919389e+00	nan	9.000000000000000000e+00	nan	3.566716456376708422e-01	2.000000000000000111e-01	9.762153479822192059e-01	1.453402971222366108e-03	9.000000000000000000e+00	2.000000000000000111e-01	7.708620086529621718e-01	nan	inf	nan
